Model,HeldOutDrug,MSE,MAE,R2
LinearRegression,Amoxicillin,4.830664765508437,1.5295345094459272,-4.391835721655655
LinearRegression,Clarithromycin,14.359289449786335,3.5401612963356017,-0.11405199973022051
LinearRegression,Trimethoprim,8.488419787861103,2.7680732568772286,-14.525181997348124
RandomForest,Amoxicillin,2.1353004411462413,1.2631272848232769,-1.383355035779966
RandomForest,Clarithromycin,11.619524810105343,3.1490388181125306,0.09851006932620987
RandomForest,Trimethoprim,0.6377663235617327,0.6809154721992977,-0.16646425277353738
